Time, Voltage
Thu May 03 11:39:37 SGT 2012, -20
Thu May 03 11:39:37 SGT 2012, -5
Thu May 03 11:39:37 SGT 2012, -4
Thu May 03 11:39:37 SGT 2012, -3
Thu May 03 11:39:37 SGT 2012, -4
Thu May 03 11:39:37 SGT 2012, 2
Thu May 03 11:39:37 SGT 2012, 4
Thu May 03 11:39:37 SGT 2012, -5
Thu May 03 11:39:37 SGT 2012, -3
Thu May 03 11:39:37 SGT 2012, -3
Thu May 03 11:39:37 SGT 2012, -5
Thu May 03 11:39:37 SGT 2012, -12
Thu May 03 11:39:37 SGT 2012, 0
Thu May 03 11:39:37 SGT 2012, 7
Thu May 03 11:39:37 SGT 2012, -4
Thu May 03 11:39:37 SGT 2012, -5
Thu May 03 11:39:37 SGT 2012, -4
Thu May 03 11:39:37 SGT 2012, -11
Thu May 03 11:39:37 SGT 2012, -13
Thu May 03 11:39:37 SGT 2012, -5
Thu May 03 11:39:37 SGT 2012, -5
Thu May 03 11:39:37 SGT 2012, -3
Thu May 03 11:39:37 SGT 2012, -3
Thu May 03 11:39:37 SGT 2012, -5
Thu May 03 11:39:37 SGT 2012, -8
Thu May 03 11:39:37 SGT 2012, -11
Thu May 03 11:39:37 SGT 2012, -13
Thu May 03 11:39:37 SGT 2012, -3
Thu May 03 11:39:37 SGT 2012, -4
Thu May 03 11:39:37 SGT 2012, -4
Thu May 03 11:39:37 SGT 2012, -18
Thu May 03 11:39:37 SGT 2012, -6
Thu May 03 11:39:37 SGT 2012, -11
Thu May 03 11:39:37 SGT 2012, -3
Thu May 03 11:39:37 SGT 2012, -3
Thu May 03 11:39:37 SGT 2012, -4
Thu May 03 11:39:37 SGT 2012, -7
Thu May 03 11:39:37 SGT 2012, -6
Thu May 03 11:39:37 SGT 2012, 4
Thu May 03 11:39:37 SGT 2012, 5
Thu May 03 11:39:37 SGT 2012, -4
Thu May 03 11:39:37 SGT 2012, -4
Thu May 03 11:39:37 SGT 2012, -2
Thu May 03 11:39:37 SGT 2012, -18
Thu May 03 11:39:37 SGT 2012, -9
Thu May 03 11:39:37 SGT 2012, 3
Thu May 03 11:39:37 SGT 2012, -4
Thu May 03 11:39:37 SGT 2012, -4
Thu May 03 11:39:37 SGT 2012, -4
Thu May 03 11:39:37 SGT 2012, -11
Thu May 03 11:39:37 SGT 2012, -17
Thu May 03 11:39:37 SGT 2012, -20
Thu May 03 11:39:37 SGT 2012, -14
Thu May 03 11:39:37 SGT 2012, -1
Thu May 03 11:39:37 SGT 2012, -4
Thu May 03 11:39:37 SGT 2012, -3
Thu May 03 11:39:37 SGT 2012, -11
Thu May 03 11:39:37 SGT 2012, -12
Thu May 03 11:39:37 SGT 2012, -15
Thu May 03 11:39:37 SGT 2012, -4
Thu May 03 11:39:37 SGT 2012, -5
Thu May 03 11:39:37 SGT 2012, -4
Thu May 03 11:39:37 SGT 2012, -9
Thu May 03 11:39:37 SGT 2012, -2
Thu May 03 11:39:37 SGT 2012, 7
Thu May 03 11:39:37 SGT 2012, -2
Thu May 03 11:39:37 SGT 2012, -5
Thu May 03 11:39:37 SGT 2012, -5
Thu May 03 11:39:37 SGT 2012, -3
Thu May 03 11:39:37 SGT 2012, -9
Thu May 03 11:39:37 SGT 2012, -6
Thu May 03 11:39:37 SGT 2012, 0
Thu May 03 11:39:37 SGT 2012, -3
Thu May 03 11:39:37 SGT 2012, -4
Thu May 03 11:39:37 SGT 2012, -4
Thu May 03 11:39:37 SGT 2012, -13
Thu May 03 11:39:37 SGT 2012, -16
Thu May 03 11:39:37 SGT 2012, -8
Thu May 03 11:39:37 SGT 2012, -1
Thu May 03 11:39:37 SGT 2012, -3
Thu May 03 11:39:37 SGT 2012, -5
Thu May 03 11:39:37 SGT 2012, -4
Thu May 03 11:39:37 SGT 2012, -8
Thu May 03 11:39:37 SGT 2012, -11
Thu May 03 11:39:37 SGT 2012, -7
Thu May 03 11:39:37 SGT 2012, -6
Thu May 03 11:39:37 SGT 2012, -3
Thu May 03 11:39:37 SGT 2012, -3
Thu May 03 11:39:37 SGT 2012, -14
Thu May 03 11:39:37 SGT 2012, -11
Thu May 03 11:39:37 SGT 2012, -13
Thu May 03 11:39:37 SGT 2012, -16
Thu May 03 11:39:37 SGT 2012, -3
Thu May 03 11:39:37 SGT 2012, -3
Thu May 03 11:39:37 SGT 2012, -4
Thu May 03 11:39:37 SGT 2012, -11
Thu May 03 11:39:37 SGT 2012, -1
Thu May 03 11:39:37 SGT 2012, 2
Thu May 03 11:39:37 SGT 2012, -4
Thu May 03 11:39:37 SGT 2012, -3
Thu May 03 11:39:37 SGT 2012, -4
Thu May 03 11:39:37 SGT 2012, -8
Thu May 03 11:39:37 SGT 2012, -15
Thu May 03 11:39:37 SGT 2012, -4
Thu May 03 11:39:37 SGT 2012, 0
Thu May 03 11:39:37 SGT 2012, -4
Thu May 03 11:39:37 SGT 2012, -3
Thu May 03 11:39:37 SGT 2012, -3
Thu May 03 11:39:37 SGT 2012, -14
Thu May 03 11:39:37 SGT 2012, -15
Thu May 03 11:39:37 SGT 2012, -8
Thu May 03 11:39:37 SGT 2012, -3
Thu May 03 11:39:37 SGT 2012, -5
Thu May 03 11:39:37 SGT 2012, -3
Thu May 03 11:39:37 SGT 2012, -6
Thu May 03 11:39:37 SGT 2012, -6
Thu May 03 11:39:37 SGT 2012, -4
Thu May 03 11:39:37 SGT 2012, -1
Thu May 03 11:39:37 SGT 2012, -5
Thu May 03 11:39:37 SGT 2012, -3
Thu May 03 11:39:37 SGT 2012, -3
Thu May 03 11:39:37 SGT 2012, -16
Thu May 03 11:39:37 SGT 2012, -9
Thu May 03 11:39:38 SGT 2012, -9
Thu May 03 11:39:38 SGT 2012, -3
Thu May 03 11:39:38 SGT 2012, -4
Thu May 03 11:39:38 SGT 2012, -4
Thu May 03 11:39:38 SGT 2012, -15
Thu May 03 11:39:38 SGT 2012, -11
Thu May 03 11:39:38 SGT 2012, 0
Thu May 03 11:39:38 SGT 2012, 0
Thu May 03 11:39:38 SGT 2012, -3
Thu May 03 11:39:38 SGT 2012, -4
Thu May 03 11:39:38 SGT 2012, -4
Thu May 03 11:39:38 SGT 2012, -16
Thu May 03 11:39:38 SGT 2012, -13
Thu May 03 11:39:38 SGT 2012, -10
Thu May 03 11:39:38 SGT 2012, -4
Thu May 03 11:39:38 SGT 2012, -3
Thu May 03 11:39:38 SGT 2012, -5
Thu May 03 11:39:38 SGT 2012, -3
Thu May 03 11:39:38 SGT 2012, -7
Thu May 03 11:39:38 SGT 2012, -1
Thu May 03 11:39:38 SGT 2012, 0
Thu May 03 11:39:38 SGT 2012, -3
Thu May 03 11:39:38 SGT 2012, -4
Thu May 03 11:39:38 SGT 2012, -3
Thu May 03 11:39:38 SGT 2012, -2
Thu May 03 11:39:38 SGT 2012, -4
Thu May 03 11:39:38 SGT 2012, -2
Thu May 03 11:39:38 SGT 2012, -4
Thu May 03 11:39:38 SGT 2012, -3
Thu May 03 11:39:38 SGT 2012, -3
Thu May 03 11:39:38 SGT 2012, -12
Thu May 03 11:39:38 SGT 2012, -10
Thu May 03 11:39:38 SGT 2012, -6
Thu May 03 11:39:38 SGT 2012, -8
Thu May 03 11:39:38 SGT 2012, -4
Thu May 03 11:39:38 SGT 2012, -3
Thu May 03 11:39:38 SGT 2012, -3
Thu May 03 11:39:38 SGT 2012, -10
Thu May 03 11:39:38 SGT 2012, -9
Thu May 03 11:39:38 SGT 2012, -14
Thu May 03 11:39:38 SGT 2012, -4
Thu May 03 11:39:38 SGT 2012, -4
Thu May 03 11:39:38 SGT 2012, -5
Thu May 03 11:39:38 SGT 2012, -12
Thu May 03 11:39:38 SGT 2012, -22
Thu May 03 11:39:38 SGT 2012, -10
Thu May 03 11:39:38 SGT 2012, -10
Thu May 03 11:39:38 SGT 2012, -5
Thu May 03 11:39:38 SGT 2012, -4
Thu May 03 11:39:38 SGT 2012, -4
Thu May 03 11:39:38 SGT 2012, -7
Thu May 03 11:39:38 SGT 2012, -7
Thu May 03 11:39:38 SGT 2012, -2
Thu May 03 11:39:38 SGT 2012, -3
Thu May 03 11:39:38 SGT 2012, -4
Thu May 03 11:39:38 SGT 2012, -4
Thu May 03 11:39:38 SGT 2012, 2
Thu May 03 11:39:38 SGT 2012, -5
Thu May 03 11:39:38 SGT 2012, -6
Thu May 03 11:39:38 SGT 2012, -2
Thu May 03 11:39:38 SGT 2012, -3
Thu May 03 11:39:38 SGT 2012, -4
Thu May 03 11:39:38 SGT 2012, -4
Thu May 03 11:39:38 SGT 2012, -9
Thu May 03 11:39:38 SGT 2012, -4
Thu May 03 11:39:38 SGT 2012, -5
Thu May 03 11:39:38 SGT 2012, -4
Thu May 03 11:39:38 SGT 2012, -5
Thu May 03 11:39:38 SGT 2012, -4
Thu May 03 11:39:38 SGT 2012, -14
Thu May 03 11:39:38 SGT 2012, -16
Thu May 03 11:39:38 SGT 2012, -11
Thu May 03 11:39:38 SGT 2012, -18
Thu May 03 11:39:38 SGT 2012, -3
Thu May 03 11:39:38 SGT 2012, -4
Thu May 03 11:39:38 SGT 2012, -5
Thu May 03 11:39:38 SGT 2012, -24
Thu May 03 11:39:38 SGT 2012, -14
Thu May 03 11:39:38 SGT 2012, -4
Thu May 03 11:39:38 SGT 2012, -3
Thu May 03 11:39:38 SGT 2012, -4
Thu May 03 11:39:38 SGT 2012, -4
Thu May 03 11:39:38 SGT 2012, -9
Thu May 03 11:39:38 SGT 2012, -12
Thu May 03 11:39:38 SGT 2012, -6
Thu May 03 11:39:38 SGT 2012, 2
Thu May 03 11:39:38 SGT 2012, -4
Thu May 03 11:39:38 SGT 2012, -3
Thu May 03 11:39:38 SGT 2012, -3
Thu May 03 11:39:38 SGT 2012, 3
Thu May 03 11:39:38 SGT 2012, 14
Thu May 03 11:39:38 SGT 2012, 21
Thu May 03 11:39:38 SGT 2012, -3
Thu May 03 11:39:38 SGT 2012, -5
Thu May 03 11:39:38 SGT 2012, -4
Thu May 03 11:39:38 SGT 2012, 16
Thu May 03 11:39:38 SGT 2012, 3
Thu May 03 11:39:38 SGT 2012, 5
Thu May 03 11:39:38 SGT 2012, 2
Thu May 03 11:39:38 SGT 2012, -4
Thu May 03 11:39:38 SGT 2012, -3
Thu May 03 11:39:38 SGT 2012, -3
Thu May 03 11:39:38 SGT 2012, 6
Thu May 03 11:39:38 SGT 2012, 0
Thu May 03 11:39:38 SGT 2012, -9
Thu May 03 11:39:38 SGT 2012, -5
Thu May 03 11:39:38 SGT 2012, -5
Thu May 03 11:39:38 SGT 2012, -4
Thu May 03 11:39:38 SGT 2012, 4
Thu May 03 11:39:38 SGT 2012, -7
Thu May 03 11:39:38 SGT 2012, -18
Thu May 03 11:39:38 SGT 2012, -13
Thu May 03 11:39:38 SGT 2012, -3
Thu May 03 11:39:38 SGT 2012, -4
Thu May 03 11:39:38 SGT 2012, -2
Thu May 03 11:39:38 SGT 2012, -9
Thu May 03 11:39:38 SGT 2012, -20
Thu May 03 11:39:38 SGT 2012, -13
Thu May 03 11:39:38 SGT 2012, -4
Thu May 03 11:39:38 SGT 2012, -4
Thu May 03 11:39:38 SGT 2012, -2
Thu May 03 11:39:38 SGT 2012, -7
Thu May 03 11:39:38 SGT 2012, -13
Thu May 03 11:39:38 SGT 2012, -6
Thu May 03 11:39:38 SGT 2012, 8
Thu May 03 11:39:38 SGT 2012, -5
Thu May 03 11:39:38 SGT 2012, -3
Thu May 03 11:39:38 SGT 2012, -4
Thu May 03 11:39:38 SGT 2012, -1
Thu May 03 11:39:38 SGT 2012, 6
Thu May 03 11:39:38 SGT 2012, 5
Thu May 03 11:39:38 SGT 2012, -5
Thu May 03 11:39:38 SGT 2012, -3
Thu May 03 11:39:38 SGT 2012, -3
Thu May 03 11:39:38 SGT 2012, -15
Thu May 03 11:39:38 SGT 2012, -20
Thu May 03 11:39:38 SGT 2012, -18
Thu May 03 11:39:38 SGT 2012, -21
Thu May 03 11:39:38 SGT 2012, -5
Thu May 03 11:39:38 SGT 2012, -2
Thu May 03 11:39:38 SGT 2012, -5
Thu May 03 11:39:38 SGT 2012, -15
Thu May 03 11:39:38 SGT 2012, -9
Thu May 03 11:39:38 SGT 2012, -5
Thu May 03 11:39:38 SGT 2012, -5
Thu May 03 11:39:38 SGT 2012, -5
Thu May 03 11:39:38 SGT 2012, -3
Thu May 03 11:39:38 SGT 2012, -31
Thu May 03 11:39:38 SGT 2012, -33
Thu May 03 11:39:38 SGT 2012, -24
Thu May 03 11:39:38 SGT 2012, -19
Thu May 03 11:39:38 SGT 2012, -5
Thu May 03 11:39:38 SGT 2012, -4
Thu May 03 11:39:38 SGT 2012, -27
Thu May 03 11:39:38 SGT 2012, -28
Thu May 03 11:39:38 SGT 2012, -7
Thu May 03 11:39:38 SGT 2012, 2
Thu May 03 11:39:38 SGT 2012, -3
Thu May 03 11:39:38 SGT 2012, -5
Thu May 03 11:39:38 SGT 2012, -3
Thu May 03 11:39:38 SGT 2012, -30
Thu May 03 11:39:38 SGT 2012, -35
Thu May 03 11:39:38 SGT 2012, -31
Thu May 03 11:39:38 SGT 2012, -16
Thu May 03 11:39:38 SGT 2012, -5
Thu May 03 11:39:38 SGT 2012, -4
Thu May 03 11:39:38 SGT 2012, 0
Thu May 03 11:39:38 SGT 2012, 0
Thu May 03 11:39:38 SGT 2012, -4
Thu May 03 11:39:38 SGT 2012, -13
Thu May 03 11:39:38 SGT 2012, -3
Thu May 03 11:39:38 SGT 2012, -4
Thu May 03 11:39:38 SGT 2012, -3
Thu May 03 11:39:38 SGT 2012, -18
Thu May 03 11:39:38 SGT 2012, -13
Thu May 03 11:39:38 SGT 2012, -6
Thu May 03 11:39:38 SGT 2012, -9
Thu May 03 11:39:38 SGT 2012, -5
Thu May 03 11:39:38 SGT 2012, -4
Thu May 03 11:39:38 SGT 2012, 4
Thu May 03 11:39:38 SGT 2012, -8
Thu May 03 11:39:38 SGT 2012, -7
Thu May 03 11:39:38 SGT 2012, -11
Thu May 03 11:39:38 SGT 2012, -3
Thu May 03 11:39:38 SGT 2012, -3
Thu May 03 11:39:38 SGT 2012, -3
Thu May 03 11:39:38 SGT 2012, -13
Thu May 03 11:39:38 SGT 2012, -13
Thu May 03 11:39:38 SGT 2012, -1
Thu May 03 11:39:38 SGT 2012, 6
Thu May 03 11:39:38 SGT 2012, -4
Thu May 03 11:39:38 SGT 2012, -4
Thu May 03 11:39:38 SGT 2012, 4
Thu May 03 11:39:38 SGT 2012, -7
Thu May 03 11:39:38 SGT 2012, -8
Thu May 03 11:39:38 SGT 2012, -8
Thu May 03 11:39:38 SGT 2012, -2
Thu May 03 11:39:38 SGT 2012, -3
Thu May 03 11:39:38 SGT 2012, -4
Thu May 03 11:39:38 SGT 2012, -4
Thu May 03 11:39:38 SGT 2012, 1
Thu May 03 11:39:38 SGT 2012, 4
Thu May 03 11:39:38 SGT 2012, 2
Thu May 03 11:39:38 SGT 2012, -4
Thu May 03 11:39:38 SGT 2012, -4
Thu May 03 11:39:38 SGT 2012, -4
Thu May 03 11:39:38 SGT 2012, -4
Thu May 03 11:39:38 SGT 2012, 6
Thu May 03 11:39:38 SGT 2012, 7
Thu May 03 11:39:38 SGT 2012, -3
Thu May 03 11:39:38 SGT 2012, -3
Thu May 03 11:39:38 SGT 2012, -5
Thu May 03 11:39:38 SGT 2012, -4
Thu May 03 11:39:38 SGT 2012, -7
Thu May 03 11:39:38 SGT 2012, -6
Thu May 03 11:39:38 SGT 2012, -6
Thu May 03 11:39:38 SGT 2012, -3
Thu May 03 11:39:38 SGT 2012, -3
Thu May 03 11:39:38 SGT 2012, 1
Thu May 03 11:39:38 SGT 2012, -4
Thu May 03 11:39:38 SGT 2012, 1
Thu May 03 11:39:38 SGT 2012, 1
Thu May 03 11:39:38 SGT 2012, -5
Thu May 03 11:39:38 SGT 2012, -4
Thu May 03 11:39:38 SGT 2012, -4
Thu May 03 11:39:38 SGT 2012, -7
Thu May 03 11:39:38 SGT 2012, -9
Thu May 03 11:39:38 SGT 2012, -11
Thu May 03 11:39:38 SGT 2012, -8
Thu May 03 11:39:38 SGT 2012, -4
Thu May 03 11:39:38 SGT 2012, -4
Thu May 03 11:39:38 SGT 2012, -10
Thu May 03 11:39:38 SGT 2012, -17
Thu May 03 11:39:38 SGT 2012, -12
Thu May 03 11:39:38 SGT 2012, -10
Thu May 03 11:39:38 SGT 2012, -4
Thu May 03 11:39:38 SGT 2012, -4
Thu May 03 11:39:38 SGT 2012, -3
Thu May 03 11:39:38 SGT 2012, -3
Thu May 03 11:39:38 SGT 2012, -2
Thu May 03 11:39:38 SGT 2012, -5
Thu May 03 11:39:38 SGT 2012, -15
Thu May 03 11:39:38 SGT 2012, -4
Thu May 03 11:39:38 SGT 2012, -5
Thu May 03 11:39:38 SGT 2012, -7
Thu May 03 11:39:38 SGT 2012, -3
Thu May 03 11:39:38 SGT 2012, 4
Thu May 03 11:39:38 SGT 2012, 2
Thu May 03 11:39:38 SGT 2012, -5
Thu May 03 11:39:38 SGT 2012, -3
Thu May 03 11:39:38 SGT 2012, -5
Thu May 03 11:39:38 SGT 2012, -9
Thu May 03 11:39:38 SGT 2012, -10
Thu May 03 11:39:38 SGT 2012, -7
Thu May 03 11:39:38 SGT 2012, -8
Thu May 03 11:39:38 SGT 2012, -3
Thu May 03 11:39:38 SGT 2012, -3
Thu May 03 11:39:38 SGT 2012, -8
Thu May 03 11:39:38 SGT 2012, -19
Thu May 03 11:39:38 SGT 2012, -22
Thu May 03 11:39:38 SGT 2012, -23
Thu May 03 11:39:38 SGT 2012, -4
Thu May 03 11:39:38 SGT 2012, -4
Thu May 03 11:39:38 SGT 2012, -3
Thu May 03 11:39:38 SGT 2012, -13
Thu May 03 11:39:38 SGT 2012, -11
Thu May 03 11:39:38 SGT 2012, -7
Thu May 03 11:39:38 SGT 2012, -6
Thu May 03 11:39:38 SGT 2012, -3
Thu May 03 11:39:38 SGT 2012, -5
Thu May 03 11:39:38 SGT 2012, -1
Thu May 03 11:39:38 SGT 2012, -5
Thu May 03 11:39:38 SGT 2012, 0
Thu May 03 11:39:38 SGT 2012, -9
Thu May 03 11:39:38 SGT 2012, -4
Thu May 03 11:39:38 SGT 2012, -4
Thu May 03 11:39:38 SGT 2012, -4
Thu May 03 11:39:38 SGT 2012, -12
Thu May 03 11:39:38 SGT 2012, -10
Thu May 03 11:39:38 SGT 2012, -3
Thu May 03 11:39:38 SGT 2012, 0
Thu May 03 11:39:38 SGT 2012, -4
Thu May 03 11:39:38 SGT 2012, -4
Thu May 03 11:39:38 SGT 2012, 5
Thu May 03 11:39:38 SGT 2012, -4
Thu May 03 11:39:38 SGT 2012, -3
Thu May 03 11:39:38 SGT 2012, -7
Thu May 03 11:39:38 SGT 2012, -3
Thu May 03 11:39:38 SGT 2012, -4
Thu May 03 11:39:38 SGT 2012, -4
Thu May 03 11:39:38 SGT 2012, -13
Thu May 03 11:39:38 SGT 2012, -13
Thu May 03 11:39:38 SGT 2012, -12
Thu May 03 11:39:38 SGT 2012, -9
Thu May 03 11:39:38 SGT 2012, -3
Thu May 03 11:39:38 SGT 2012, -3
Thu May 03 11:39:38 SGT 2012, -10
Thu May 03 11:39:38 SGT 2012, -16
Thu May 03 11:39:38 SGT 2012, -8
Thu May 03 11:39:38 SGT 2012, -8
Thu May 03 11:39:38 SGT 2012, -3
Thu May 03 11:39:38 SGT 2012, -3
Thu May 03 11:39:38 SGT 2012, -5
Thu May 03 11:39:38 SGT 2012, 0
Thu May 03 11:39:38 SGT 2012, 1
Thu May 03 11:39:38 SGT 2012, 3
Thu May 03 11:39:38 SGT 2012, 5
Thu May 03 11:39:38 SGT 2012, -4
Thu May 03 11:39:38 SGT 2012, -3
Thu May 03 11:39:38 SGT 2012, -4
Thu May 03 11:39:38 SGT 2012, -10
Thu May 03 11:39:38 SGT 2012, 0
Thu May 03 11:39:38 SGT 2012, 2
Thu May 03 11:39:38 SGT 2012, -5
Thu May 03 11:39:38 SGT 2012, -4
Thu May 03 11:39:38 SGT 2012, -3
Thu May 03 11:39:38 SGT 2012, -2
Thu May 03 11:39:38 SGT 2012, -6
Thu May 03 11:39:38 SGT 2012, -3
Thu May 03 11:39:38 SGT 2012, -4
Thu May 03 11:39:38 SGT 2012, -5
Thu May 03 11:39:38 SGT 2012, -3
Thu May 03 11:39:38 SGT 2012, -9
Thu May 03 11:39:38 SGT 2012, -14
Thu May 03 11:39:38 SGT 2012, -12
Thu May 03 11:39:38 SGT 2012, -12
Thu May 03 11:39:38 SGT 2012, -4
Thu May 03 11:39:38 SGT 2012, -4
Thu May 03 11:39:39 SGT 2012, -3
Thu May 03 11:39:39 SGT 2012, -5
Thu May 03 11:39:39 SGT 2012, -6
Thu May 03 11:39:39 SGT 2012, -8
Thu May 03 11:39:39 SGT 2012, -6
Thu May 03 11:39:39 SGT 2012, -3
Thu May 03 11:39:39 SGT 2012, -3
Thu May 03 11:39:39 SGT 2012, -13
Thu May 03 11:39:39 SGT 2012, -17
Thu May 03 11:39:39 SGT 2012, -8
Thu May 03 11:39:39 SGT 2012, -5
Thu May 03 11:39:39 SGT 2012, -3
Thu May 03 11:39:39 SGT 2012, -3
Thu May 03 11:39:39 SGT 2012, -4
Thu May 03 11:39:39 SGT 2012, -4
Thu May 03 11:39:39 SGT 2012, -1
Thu May 03 11:39:39 SGT 2012, 1
Thu May 03 11:39:39 SGT 2012, -1
Thu May 03 11:39:39 SGT 2012, -4
Thu May 03 11:39:39 SGT 2012, -3
Thu May 03 11:39:39 SGT 2012, 2
Thu May 03 11:39:39 SGT 2012, -6
Thu May 03 11:39:39 SGT 2012, 0
Thu May 03 11:39:39 SGT 2012, -3
Thu May 03 11:39:39 SGT 2012, -4
Thu May 03 11:39:39 SGT 2012, -4
Thu May 03 11:39:39 SGT 2012, -4
Thu May 03 11:39:39 SGT 2012, -9
Thu May 03 11:39:39 SGT 2012, -9
Thu May 03 11:39:39 SGT 2012, -6
Thu May 03 11:39:39 SGT 2012, -1
Thu May 03 11:39:39 SGT 2012, -4
Thu May 03 11:39:39 SGT 2012, -4
Thu May 03 11:39:39 SGT 2012, -6
Thu May 03 11:39:39 SGT 2012, -12
Thu May 03 11:39:39 SGT 2012, -6
Thu May 03 11:39:39 SGT 2012, -4
Thu May 03 11:39:39 SGT 2012, -4
Thu May 03 11:39:39 SGT 2012, -4
Thu May 03 11:39:39 SGT 2012, -4
Thu May 03 11:39:39 SGT 2012, -13
Thu May 03 11:39:39 SGT 2012, -13
Thu May 03 11:39:39 SGT 2012, -12
Thu May 03 11:39:39 SGT 2012, -7
Thu May 03 11:39:39 SGT 2012, -4
Thu May 03 11:39:39 SGT 2012, -4
Thu May 03 11:39:39 SGT 2012, -6
Thu May 03 11:39:39 SGT 2012, -8
Thu May 03 11:39:39 SGT 2012, 2
Thu May 03 11:39:39 SGT 2012, 0
Thu May 03 11:39:39 SGT 2012, -3
Thu May 03 11:39:39 SGT 2012, -3
Thu May 03 11:39:39 SGT 2012, -4
Thu May 03 11:39:39 SGT 2012, -14
Thu May 03 11:39:39 SGT 2012, -6
Thu May 03 11:39:39 SGT 2012, 3
Thu May 03 11:39:39 SGT 2012, 3
Thu May 03 11:39:39 SGT 2012, -3
Thu May 03 11:39:39 SGT 2012, -4
Thu May 03 11:39:39 SGT 2012, -1
Thu May 03 11:39:39 SGT 2012, -4
Thu May 03 11:39:39 SGT 2012, 2
Thu May 03 11:39:39 SGT 2012, 4
Thu May 03 11:39:39 SGT 2012, -4
Thu May 03 11:39:39 SGT 2012, -4
Thu May 03 11:39:39 SGT 2012, -4
Thu May 03 11:39:39 SGT 2012, -8
Thu May 03 11:39:39 SGT 2012, -13
Thu May 03 11:39:39 SGT 2012, -17
Thu May 03 11:39:39 SGT 2012, -13
Thu May 03 11:39:39 SGT 2012, -4
Thu May 03 11:39:39 SGT 2012, -4
Thu May 03 11:39:39 SGT 2012, -11
Thu May 03 11:39:39 SGT 2012, -12
Thu May 03 11:39:39 SGT 2012, -3
Thu May 03 11:39:39 SGT 2012, 7
Thu May 03 11:39:39 SGT 2012, -4
Thu May 03 11:39:39 SGT 2012, -3
Thu May 03 11:39:39 SGT 2012, -3
Thu May 03 11:39:39 SGT 2012, -7
Thu May 03 11:39:39 SGT 2012, -10
Thu May 03 11:39:39 SGT 2012, -8
Thu May 03 11:39:39 SGT 2012, -4
Thu May 03 11:39:39 SGT 2012, -4
Thu May 03 11:39:39 SGT 2012, -4
Thu May 03 11:39:39 SGT 2012, -9
Thu May 03 11:39:39 SGT 2012, -18
Thu May 03 11:39:39 SGT 2012, -16
Thu May 03 11:39:39 SGT 2012, -17
Thu May 03 11:39:39 SGT 2012, -4
Thu May 03 11:39:39 SGT 2012, -4
Thu May 03 11:39:39 SGT 2012, -3
Thu May 03 11:39:39 SGT 2012, -14
Thu May 03 11:39:39 SGT 2012, -12
Thu May 03 11:39:39 SGT 2012, -5
Thu May 03 11:39:39 SGT 2012, 5
Thu May 03 11:39:39 SGT 2012, -5
Thu May 03 11:39:39 SGT 2012, -3
Thu May 03 11:39:39 SGT 2012, 6
Thu May 03 11:39:39 SGT 2012, -4
Thu May 03 11:39:39 SGT 2012, -2
Thu May 03 11:39:39 SGT 2012, -4
Thu May 03 11:39:39 SGT 2012, -3
Thu May 03 11:39:39 SGT 2012, -4
Thu May 03 11:39:39 SGT 2012, -4
Thu May 03 11:39:39 SGT 2012, -19
Thu May 03 11:39:39 SGT 2012, -16
Thu May 03 11:39:39 SGT 2012, -11
Thu May 03 11:39:39 SGT 2012, -3
Thu May 03 11:39:39 SGT 2012, -4
Thu May 03 11:39:39 SGT 2012, -3
Thu May 03 11:39:39 SGT 2012, -3
Thu May 03 11:39:39 SGT 2012, -10
Thu May 03 11:39:39 SGT 2012, -4
Thu May 03 11:39:39 SGT 2012, -1
Thu May 03 11:39:39 SGT 2012, -2
Thu May 03 11:39:39 SGT 2012, -5
Thu May 03 11:39:39 SGT 2012, -5
Thu May 03 11:39:39 SGT 2012, -23
Thu May 03 11:39:39 SGT 2012, -19
Thu May 03 11:39:39 SGT 2012, -7
Thu May 03 11:39:39 SGT 2012, 8
Thu May 03 11:39:39 SGT 2012, -4
Thu May 03 11:39:39 SGT 2012, -4
Thu May 03 11:39:39 SGT 2012, 7
Thu May 03 11:39:39 SGT 2012, -5
Thu May 03 11:39:39 SGT 2012, -8
Thu May 03 11:39:39 SGT 2012, -5
Thu May 03 11:39:39 SGT 2012, -4
Thu May 03 11:39:39 SGT 2012, -4
Thu May 03 11:39:39 SGT 2012, -4
Thu May 03 11:39:39 SGT 2012, -4
Thu May 03 11:39:39 SGT 2012, 1
Thu May 03 11:39:39 SGT 2012, -2
Thu May 03 11:39:39 SGT 2012, -3
Thu May 03 11:39:39 SGT 2012, -3
Thu May 03 11:39:39 SGT 2012, -5
Thu May 03 11:39:39 SGT 2012, -6
Thu May 03 11:39:39 SGT 2012, -9
Thu May 03 11:39:39 SGT 2012, -5
Thu May 03 11:39:39 SGT 2012, -5
Thu May 03 11:39:39 SGT 2012, -3
Thu May 03 11:39:39 SGT 2012, -3
Thu May 03 11:39:39 SGT 2012, -3
Thu May 03 11:39:39 SGT 2012, -23
Thu May 03 11:39:39 SGT 2012, -21
Thu May 03 11:39:39 SGT 2012, -12
Thu May 03 11:39:39 SGT 2012, -5
Thu May 03 11:39:39 SGT 2012, -4
Thu May 03 11:39:39 SGT 2012, -4
Thu May 03 11:39:39 SGT 2012, -8
Thu May 03 11:39:39 SGT 2012, -12
Thu May 03 11:39:39 SGT 2012, -5
Thu May 03 11:39:39 SGT 2012, -2
Thu May 03 11:39:39 SGT 2012, -3
Thu May 03 11:39:39 SGT 2012, -4
Thu May 03 11:39:39 SGT 2012, -4
